00000.vtk,0,0,0,0,0,0,1
00002.vtk,-0.117719,0.347166,-0.00836459,0.000526801,-0.000631813,-0.000605937,0.999999
00003.vtk,-0.21,0.470618,-0.00193339,0.00183908,-0.00172059,-0.00202583,0.999995
00008.vtk,-0.28113,1.10151,-0.00477345,-0.000306422,0.00237214,0.000223604,0.999997
00009.vtk,-0.273872,1.26216,0.00411385,0.000529513,0.00072597,0.00100068,0.999999
00011.vtk,-0.283667,1.55381,-0.0115764,-0.0012084,-5.14501e-05,-0.00148071,0.999998
00013.vtk,-0.343468,1.94927,-0.0129775,0.000350662,-0.00112374,0.00161942,0.999998
00015.vtk,-0.456238,2.22631,-0.0169216,0.000961117,0.00147826,0.00150456,0.999997
00016.vtk,-0.457876,2.38282,-0.021466,-0.0010632,0.00021933,-0.00162319,0.999998
00020.vtk,-0.520892,2.89535,-0.0263428,-0.000881367,-0.00158117,0.000920397,0.999998
00023.vtk,-0.450462,3.29049,-0.0177988,0.0024846,-0.000474177,0.0034218,0.999991
00029.vtk,-0.349463,4.01383,-0.0336775,-0.000551552,-0.00114531,-0.000326023,0.999999
00031.vtk,-0.310396,4.19786,-0.0296117,-8.25758e-06,-0.000246956,-0.000963964,1
00032.vtk,-0.273135,4.3972,-0.00385704,0.002149,-0.000445888,0.00178692,0.999996
00034.vtk,-0.209617,4.655,-0.00176913,-0.000155178,0.000896204,0.00282828,0.999996
00038.vtk,-0.179729,5.0379,0.0281216,0.000432141,-0.000703715,0.000671547,0.999999
00040.vtk,-0.200964,5.13522,0.0164569,-0.00101872,-0.000313469,0.000801266,0.999999
00042.vtk,-0.0422002,5.3188,0.0628926,-0.0020714,9.50321e-05,0.00143571,0.999997
00045.vtk,-0.080033,5.70458,0.0214168,-0.0037303,-0.00037702,-0.000215641,0.999993
00046.vtk,-0.168532,5.75481,0.0141095,-0.00110311,-0.000769951,0.00240211,0.999996
00048.vtk,-0.214178,5.99129,0.0169206,-0.000259721,-0.000414157,0.000857404,1
00049.vtk,-0.153189,6.27193,0.085724,0.00533128,0.0012189,0.00110186,0.999984
00050.vtk,-0.171848,6.2839,0.0465594,-0.00325892,-0.000863386,8.19792e-05,0.999994
00051.vtk,-0.285496,6.38129,0.0593535,0.00134116,-0.000471271,0.00285795,0.999995
00053.vtk,-0.160076,6.61936,0.0385884,-0.000822604,-0.000389908,-0.000667476,0.999999
00055.vtk,-0.260117,6.84302,0.0384747,0.000749722,-0.00027474,-6.88061e-06,1
